,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
15420,1cd-1.2.2.2.2.1.1,division,23.0,1cd-1.2.2.2.2.1.2,division,33.0,True,10.0,0.9,TMZ
15421,1cd-1.2.2.2.2.1.1.1,migration,18.0,1cd-1.2.2.2.2.1.1.2,division,14.0,False,4.0,0.9,TMZ
15422,1cd-1.2.2.2.2.1.1.2.1,migration,3.0,1cd-1.2.2.2.2.1.1.2.2,migration,3.0,True,0.0,0.9,TMZ
15423,1cd-1.2.2.2.2.1.2.1,migration,8.0,1cd-1.2.2.2.2.1.2.2,migration,8.0,True,0.0,0.9,TMZ
15424,1cd-1.2.2.2.2.2.1,division,23.0,1cd-1.2.2.2.2.2.2,migration,34.0,False,11.0,0.9,TMZ
15425,1cd-1.2.2.2.2.2.1.1,division,6.0,1cd-1.2.2.2.2.2.1.2,migration,10.0,False,4.0,0.9,TMZ
15426,1cd-1.2.2.2.2.2.1.1.1,migration,3.0,1cd-1.2.2.2.2.2.1.1.2,migration,3.0,True,0.0,0.9,TMZ
15427,1ce-1.1,division,27.0,1ce-1.2,division,27.0,True,0.0,0.9,TMZ
15428,1ce-1.1.1,division,41.0,1ce-1.1.2,division,40.0,True,1.0,0.9,TMZ
15429,1ce-1.1.1.1,division,31.0,1ce-1.1.1.2,migration,46.0,False,15.0,0.9,TMZ
15430,1ce-1.1.1.1.1,migration,14.0,1ce-1.1.1.1.2,migration,14.0,True,0.0,0.9,TMZ
15431,1ce-1.1.2.1,migration,47.0,1ce-1.1.2.2,division,26.0,False,21.0,0.9,TMZ
15432,1ce-1.1.2.2.1,division,6.0,1ce-1.1.2.2.2,migration,20.0,False,14.0,0.9,TMZ
15433,1ce-1.1.2.2.1.1,migration,13.0,1ce-1.1.2.2.1.2,migration,13.0,True,0.0,0.9,TMZ
15434,1ce-1.2.1,division,40.0,1ce-1.2.2,division,40.0,True,0.0,0.9,TMZ
15435,1ce-1.2.1.1,migration,47.0,1ce-1.2.1.2,migration,47.0,True,0.0,0.9,TMZ
15436,1ce-1.2.2.1,division,28.0,1ce-1.2.2.2,division,45.0,True,17.0,0.9,TMZ
15437,1ce-1.2.2.1.1,migration,18.0,1ce-1.2.2.1.2,migration,18.0,True,0.0,0.9,TMZ
15438,1ce-1.2.2.2.1,migration,1.0,1ce-1.2.2.2.2,migration,1.0,True,0.0,0.9,TMZ
15439,1cf-1.1,division,26.0,1cf-1.2,division,26.0,True,0.0,0.9,TMZ
15440,1cf-1.1.1,division,34.0,1cf-1.1.2,division,34.0,True,0.0,0.9,TMZ
15441,1cf-1.1.1.1,division,37.0,1cf-1.1.1.2,division,36.0,True,1.0,0.9,TMZ
15442,1cf-1.1.1.1.1,migration,17.0,1cf-1.1.1.1.2,migration,17.0,True,0.0,0.9,TMZ
15443,1cf-1.1.1.2.1,migration,18.0,1cf-1.1.1.2.2,migration,18.0,True,0.0,0.9,TMZ
15444,1cf-1.1.2.1,division,44.0,1cf-1.1.2.2,division,22.0,True,22.0,0.9,TMZ
15445,1cf-1.1.2.1.1,migration,10.0,1cf-1.1.2.1.2,migration,10.0,True,0.0,0.9,TMZ
15446,1cf-1.1.2.2.1,migration,32.0,1cf-1.1.2.2.2,migration,32.0,True,0.0,0.9,TMZ
15447,1cf-1.2.1,division,34.0,1cf-1.2.2,division,35.0,True,1.0,0.9,TMZ
15448,1cf-1.2.1.1,division,12.0,1cf-1.2.1.2,division,27.0,True,15.0,0.9,TMZ
15449,1cf-1.2.1.1.1,division,17.0,1cf-1.2.1.1.2,division,20.0,True,3.0,0.9,TMZ
15450,1cf-1.2.1.1.1.1,division,20.0,1cf-1.2.1.1.1.2,division,13.0,True,7.0,0.9,TMZ
15451,1cf-1.2.1.1.1.1.1,migration,3.0,1cf-1.2.1.1.1.1.2,migration,3.0,True,0.0,0.9,TMZ
15452,1cf-1.2.1.1.1.2.1,division,2.0,1cf-1.2.1.1.1.2.2,migration,10.0,False,8.0,0.9,TMZ
15453,1cf-1.2.1.1.1.2.1.1,migration,7.0,1cf-1.2.1.1.1.2.1.2,division,0.0,False,7.0,0.9,TMZ
15454,1cf-1.2.1.1.1.2.1.2.1,migration,6.0,1cf-1.2.1.1.1.2.1.2.2,migration,6.0,True,0.0,0.9,TMZ
