index,id,name,size,seconds_since_birth,signal_mean,signal_std,simulation_frames,simulation_seconds,simulation_hours,simulation_days
13459,59,1bh,64,482400,0.2879901129538437,0.5059460842250662,134,482400,134.0,5.583333333333333
13460,60,1bi,32,482400,-0.327756906814986,0.28228111018886076,134,482400,134.0,5.583333333333333
13461,61,1bj,16,482400,-0.3614786617211207,0.331871053476582,134,482400,134.0,5.583333333333333
13462,62,1bk,16,482400,-0.6868416493576817,0.21277714127998168,134,482400,134.0,5.583333333333333
13463,63,1bl,16,482400,-0.1605891052874358,0.4734726544040594,134,482400,134.0,5.583333333333333
13464,64,1bm,16,482400,-0.3978077290783967,0.3513683293892706,134,482400,134.0,5.583333333333333
13465,65,1bn,32,482400,-0.10558101785171353,0.5074800427434053,134,482400,134.0,5.583333333333333
13466,66,1bo,16,482400,0.03702267094478776,0.5265161586282345,134,482400,134.0,5.583333333333333
13467,67,1bp,32,482400,0.4851284095999523,0.33265261992957695,134,482400,134.0,5.583333333333333
13468,68,1bq,16,482400,-0.7527041760451757,0.18582155605062342,134,482400,134.0,5.583333333333333
13469,69,1br,16,482400,0.12413555218283681,0.7065925358079488,134,482400,134.0,5.583333333333333
13470,70,1bs,84,482400,-0.06092369023138705,0.39018208138558436,134,482400,134.0,5.583333333333333
13471,71,1bt,16,482400,-0.5662952422604302,0.225680774685891,134,482400,134.0,5.583333333333333
13472,72,1bu,32,482400,0.13604926693549957,0.3670683582234104,134,482400,134.0,5.583333333333333
13473,73,1bv,98,482400,-0.37239730311276825,0.4494061248525042,134,482400,134.0,5.583333333333333
13474,74,1bw,32,482400,0.338690151579113,0.38526041527943233,134,482400,134.0,5.583333333333333
13475,75,1bx,32,482400,-0.19712772471208506,0.4526193875509769,134,482400,134.0,5.583333333333333
13476,76,1by,16,482400,0.34617628452624694,0.3923571379523274,134,482400,134.0,5.583333333333333
13477,77,1bz,12,482400,-0.12478966261222736,0.24599941872474104,134,482400,134.0,5.583333333333333
13478,78,1ca,108,482400,0.44999221332919354,0.43756737849007366,134,482400,134.0,5.583333333333333
13479,79,1cb,16,482400,-0.7194666167814042,0.19733835152525356,134,482400,134.0,5.583333333333333
13480,80,1cc,64,482400,-0.11824809679568318,0.553275823171453,134,482400,134.0,5.583333333333333
13481,81,1cd,64,482400,0.5944377118438029,0.2679792629755529,134,482400,134.0,5.583333333333333
13482,82,1ce,111,482400,-0.4765371889916893,0.38660470783596007,134,482400,134.0,5.583333333333333
13483,83,1cf,16,482400,0.10429684880880999,0.383950517265617,134,482400,134.0,5.583333333333333
13484,84,1cg,32,482400,0.34715757677493486,0.4400968166222296,134,482400,134.0,5.583333333333333
13485,85,1ch,16,482400,-0.08229424620477832,0.4804303278161305,134,482400,134.0,5.583333333333333
13486,86,1ci,32,482400,-0.1870269240695424,0.29054819737735676,134,482400,134.0,5.583333333333333
13487,87,1cj,12,482400,0.5891131912017777,0.3463197364995621,134,482400,134.0,5.583333333333333
13488,88,1ck,172,482400,-0.5302696677560291,0.3788700451000537,134,482400,134.0,5.583333333333333
13489,89,1cl,16,482400,0.38900671987057023,0.4952422236292558,134,482400,134.0,5.583333333333333
13490,90,1cm,63,482400,-0.028330521774495916,0.39108716057149073,134,482400,134.0,5.583333333333333
13491,91,1cn,108,482400,0.04048481058866966,0.5751511655537139,134,482400,134.0,5.583333333333333
13492,92,1co,32,482400,-0.049473292087679824,0.3601947612213282,134,482400,134.0,5.583333333333333
13493,93,1cp,32,482400,0.3634369692398881,0.3810000655737394,134,482400,134.0,5.583333333333333
13494,94,1cq,8,482400,0.19651049421808853,0.3268299463080017,134,482400,134.0,5.583333333333333
13495,95,1cr,16,482400,0.12161223385573287,0.3655565966402385,134,482400,134.0,5.583333333333333
13496,96,1cs,16,482400,0.16120255277977902,0.5476838288900079,134,482400,134.0,5.583333333333333
13497,97,1ct,32,482400,0.09998405295917509,0.3420468776258826,134,482400,134.0,5.583333333333333
13498,98,1cu,64,482400,0.34809447168649876,0.4765774427433956,134,482400,134.0,5.583333333333333
13499,99,1cv,20,482400,-0.39060112001953184,0.5081403910574007,134,482400,134.0,5.583333333333333
13500,0,1a,16,486000,-0.12497115277612306,0.37268497371888126,135,486000,135.0,5.625
13501,1,1b,32,486000,-0.6251888027429455,0.28872391313274637,135,486000,135.0,5.625
13502,2,1c,8,486000,0.2559643185037155,0.6131787907324651,135,486000,135.0,5.625
13503,3,1d,64,486000,0.20654309056829026,0.46226763464378556,135,486000,135.0,5.625
13504,4,1e,55,486000,-0.04744932014863028,0.5289183212139906,135,486000,135.0,5.625
13505,5,1f,64,486000,0.0279029081543883,0.49580448542606725,135,486000,135.0,5.625
13506,6,1g,35,486000,-0.6057530537168342,0.2656630290059277,135,486000,135.0,5.625
13507,7,1h,16,486000,-0.007337776143487521,0.4471043354168709,135,486000,135.0,5.625
13508,8,1i,32,486000,0.12134904750577916,0.6297223038693475,135,486000,135.0,5.625
13509,9,1j,32,486000,0.3018112833007444,0.3868102936181938,135,486000,135.0,5.625
13510,10,1k,16,486000,-0.03282549800718958,0.45780167420998913,135,486000,135.0,5.625
13511,11,1l,32,486000,-0.3296680215276131,0.3045223060328055,135,486000,135.0,5.625
13512,12,1m,16,486000,0.26490543172187503,0.6892113365297708,135,486000,135.0,5.625
13513,13,1n,16,486000,0.1535200235968684,0.43534306413789353,135,486000,135.0,5.625
13514,14,1o,36,486000,-0.06625293094198285,0.578028829746979,135,486000,135.0,5.625
13515,15,1p,24,486000,-0.10081364425632022,0.4924333395067955,135,486000,135.0,5.625
13516,16,1q,241,486000,-0.261468082606186,0.3491149218127559,135,486000,135.0,5.625
13517,17,1r,32,486000,0.38033653253485195,0.4154766507558551,135,486000,135.0,5.625
13518,18,1s,32,486000,-0.16549117660103244,0.36512139332783927,135,486000,135.0,5.625
13519,19,1t,47,486000,-0.4462840614171685,0.31889743051282476,135,486000,135.0,5.625
13520,20,1u,64,486000,0.26529840145852557,0.4063483047759769,135,486000,135.0,5.625
13521,21,1v,16,486000,-0.44358488036470883,0.28514619806214425,135,486000,135.0,5.625
13522,22,1w,16,486000,0.5623956156973781,0.36523779587347016,135,486000,135.0,5.625
13523,23,1x,32,486000,0.2765231319226689,0.37100757745812885,135,486000,135.0,5.625
13524,24,1y,16,486000,0.6255261174727836,0.31266196599167184,135,486000,135.0,5.625
13525,25,1z,64,486000,-0.18945875592254885,0.6917597780575913,135,486000,135.0,5.625
13526,26,1aa,104,486000,0.3766162747880702,0.38419206126872163,135,486000,135.0,5.625
13527,27,1ab,32,486000,0.25926571302791157,0.29173671640274734,135,486000,135.0,5.625
13528,28,1ac,125,486000,0.09991712995292734,0.43372465178289255,135,486000,135.0,5.625
13529,29,1ad,64,486000,-0.49223909586951775,0.3627454690956081,135,486000,135.0,5.625
13530,30,1ae,8,486000,-0.37064070236571367,0.2972197370268097,135,486000,135.0,5.625
13531,31,1af,16,486000,0.040065612440547696,0.5127985887875876,135,486000,135.0,5.625
13532,32,1ag,32,486000,-0.12696667233775086,0.45348157504327585,135,486000,135.0,5.625
13533,33,1ah,64,486000,-0.031246032322532327,0.4715713524262375,135,486000,135.0,5.625
13534,34,1ai,32,486000,0.07590923825548987,0.29161066107591255,135,486000,135.0,5.625
13535,35,1aj,8,486000,0.48510011529850955,0.3316747242448674,135,486000,135.0,5.625
13536,36,1ak,30,486000,-0.3053905815131102,0.42924251182581896,135,486000,135.0,5.625
13537,37,1al,32,486000,-0.40242412936683725,0.40481863764966136,135,486000,135.0,5.625
13538,38,1am,16,486000,0.425198012042568,0.5487823243011701,135,486000,135.0,5.625
13539,39,1an,16,486000,0.07896314531599968,0.4044666457206209,135,486000,135.0,5.625
13540,40,1ao,16,486000,0.606382903819096,0.2969344435778248,135,486000,135.0,5.625
13541,41,1ap,32,486000,-0.12938579871247852,0.38901423307728034,135,486000,135.0,5.625
13542,42,1aq,16,486000,-0.16426206775469346,0.42383038549092317,135,486000,135.0,5.625
13543,43,1ar,8,486000,-0.2122895267802993,0.15677970796751628,135,486000,135.0,5.625
13544,44,1as,32,486000,0.3720229161318195,0.4227465417650138,135,486000,135.0,5.625
13545,45,1at,32,486000,-0.27879711219741354,0.34549657488439856,135,486000,135.0,5.625
13546,46,1au,64,486000,-0.6526970482164001,0.24787444885621213,135,486000,135.0,5.625
13547,47,1av,32,486000,0.07449227599497424,0.4320801942830355,135,486000,135.0,5.625
13548,48,1aw,16,486000,-0.5702689740877215,0.2726189272339816,135,486000,135.0,5.625
13549,49,1ax,121,486000,0.0029055286168845305,0.4171322817533071,135,486000,135.0,5.625
13550,50,1ay,60,486000,-0.04881976809506402,0.4747337628481263,135,486000,135.0,5.625
13551,51,1az,32,486000,0.4285739417493365,0.4220869462699901,135,486000,135.0,5.625
13552,52,1ba,124,486000,-0.01676668239076728,0.44939665495772907,135,486000,135.0,5.625
13553,53,1bb,64,486000,0.13685734880218656,0.5059300759691316,135,486000,135.0,5.625
13554,54,1bc,16,486000,0.6098024538607599,0.3415361884799418,135,486000,135.0,5.625
13555,55,1bd,16,486000,-0.6604072355316136,0.297701864520343,135,486000,135.0,5.625
13556,56,1be,16,486000,0.10268279781486206,0.6163260229696369,135,486000,135.0,5.625
13557,57,1bf,32,486000,-0.21914958060717454,0.4378745371849163,135,486000,135.0,5.625
13558,58,1bg,32,486000,0.04714706901346646,0.5592751360419139,135,486000,135.0,5.625
13559,59,1bh,64,486000,0.2869249783711482,0.5008591317050386,135,486000,135.0,5.625
13560,60,1bi,32,486000,-0.31684052073537355,0.27565621206863034,135,486000,135.0,5.625
13561,61,1bj,16,486000,-0.36462622928987254,0.3264351803473909,135,486000,135.0,5.625
13562,62,1bk,16,486000,-0.69945074568508,0.23974825709840383,135,486000,135.0,5.625
13563,63,1bl,16,486000,-0.13809014514866,0.4734295882709543,135,486000,135.0,5.625
13564,64,1bm,16,486000,-0.3740502534205744,0.3441156985213813,135,486000,135.0,5.625
13565,65,1bn,32,486000,-0.11726835554752624,0.4992741027042722,135,486000,135.0,5.625
13566,66,1bo,16,486000,0.04998600965277991,0.5081520081431928,135,486000,135.0,5.625
13567,67,1bp,32,486000,0.4987824736832319,0.3364687545355221,135,486000,135.0,5.625
13568,68,1bq,16,486000,-0.7496578073661733,0.18644294008144735,135,486000,135.0,5.625
13569,69,1br,16,486000,0.12332461925543971,0.7077563934978744,135,486000,135.0,5.625
13570,70,1bs,87,486000,-0.06449545981492208,0.3919939786365394,135,486000,135.0,5.625
13571,71,1bt,16,486000,-0.5646768594057106,0.22425924317435525,135,486000,135.0,5.625
13572,72,1bu,32,486000,0.13984669756886434,0.36765881344678886,135,486000,135.0,5.625
13573,73,1bv,103,486000,-0.3366388686795411,0.4724956532911363,135,486000,135.0,5.625
13574,74,1bw,32,486000,0.34042379992521643,0.37918080767895385,135,486000,135.0,5.625
13575,75,1bx,32,486000,-0.1969242400227978,0.4508658394432959,135,486000,135.0,5.625
13576,76,1by,16,486000,0.34329197981428733,0.3936886473405009,135,486000,135.0,5.625
13577,77,1bz,16,486000,-0.14862848035894266,0.2587208451317694,135,486000,135.0,5.625
13578,78,1ca,109,486000,0.4500808423930869,0.44359668329469193,135,486000,135.0,5.625
13579,79,1cb,16,486000,-0.7226606540552292,0.20919413415966803,135,486000,135.0,5.625
13580,80,1cc,64,486000,-0.11065078081341509,0.5595423051425162,135,486000,135.0,5.625
